Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
J.P. Holtz,NOR,,29,6,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jordan Howard,NOR,RB,28,2,0,0,0,0,0,0,1,0,1,0,0,,0.1,0,0,0
Godwin Igwebuike,SEA,,28,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Tyree Jackson,PHI,,25,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jesse James,CLE,,28,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Duke Johnson,BUF,RB,29,1,0,0,0,0,0,0,4,0,2,0,0,,0.4,0,0,0
Tyler Johnson,HOU,,24,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Taiwan Jones,BUF,,34,13,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Case Keenum,BUF,QB,34,2,0,0,0,8,0,7,0,0,5,0,0,,0.3,0,0,0
Marcus Kemp,KAN,,27,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Mason Kinsey,TEN,WR,24,1,0,1,1,0,0,0,0,0,0,3,0,,1.3,0,0,0
Hunter Long,MIA,,24,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Racey McMath,TEN,,23,1,0,4,0,0,0,0,0,0,0,0,0,,,0,0,0
Kirk Merritt,NOR,,25,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Stanley Morgan Jr.,CIN,,26,11,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Qadree Ollison,DAL,,26,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Matthew Orzech,LAR,,27,13,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jaret Patterson,WAS,,23,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Adam Prentice,NOR,RB,25,7,1,1,1,0,0,0,2,0,1,2,0,,1.4,0,1,0
Kevin Rader,TEN,,27,10,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Andre Roberts,CAR,,34,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Richard Rodgers,LAC,TE,30,10,1,4,1,0,0,0,0,0,0,4,0,,1.4,0,0,0
Larry Rountree,LAC,,23,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Drew Sample,CIN,TE,26,2,2,2,2,0,0,0,0,0,0,-2,0,,1.8,0,0,0
Braylon Sanders,MIA,WR,23,1,0,2,2,0,0,0,0,0,0,17,0,,1.7,0,1,1
Matthew Slater,NWE,,37,13,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Willie Snead,SFO,,30,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Matt Sokol,NWE,,27,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Nate Sudfeld,DET,QB,29,1,0,0,0,0,0,0,-1,0,2,0,0,,-0.1,0,0,0
Freddie Swain,MIA,,24,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Keir Thomas,LAR,,24,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Noah Togiai,PHI,,25,2,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Laquon Treadwell,SEA,WR,27,3,0,1,1,0,0,0,0,0,0,1,0,,1.1,0,0,0
Malik Turner,SFO,,26,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jonathan Ward,ARI,,25,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
James Washington,DAL,,26,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Cody White,PIT,WR,24,1,1,1,1,0,0,0,0,0,0,2,0,,1.2,0,0,0
Antonio Williams,NYG,,25,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Damien Williams,ATL,RB,30,1,1,0,0,0,0,0,2,0,2,0,0,,0.2,0,0,0
Javon Wims,ARI,,28,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Charlie Woerner,SFO,,25,13,2,2,0,0,0,0,0,0,0,0,0,,,0,0,0
Brandon Zylstra,DET,,29,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Deonte Harty,NOR,WR,25,4,0,2,2,0,0,0,0,0,0,13,0,-1,1.3,0,1,1
Ihmir Smith-Marsette,2TM,WR,23,7,0,4,1,0,0,0,-1,0,1,15,0,-1,0.4,0,1,1
Chester Rogers,CLE,,28,3,0,0,0,0,0,0,0,0,0,0,0,-2,-2.0,0,1,1
