Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Dalvin Cook,BUF@NYJ,8,0,0,0,0,0,0,13,33,0,0,3,26,0,0,0,0
Demario Douglas,PHI@NE,8,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
Zach Ertz,ARI@WAS,8,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0
Chuba Hubbard,CAR@ATL,8,0,0,0,0,0,0,9,60,0,0,2,9,0,0,0,0
Josh Jacobs,LV@DEN,8,0,0,0,0,0,0,19,48,0,0,2,23,0,0,0,0
Sam LaPorta,DET@KC,8,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0
Elijah Moore,CIN@CLE,8,0,0,0,0,0,0,2,19,0,0,3,43,0,0,0,0
Luke Musgrave,GB@CHI,8,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0
Trey Palmer,TB@MIN,8,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0
George Pickens,SF@PIT,8,0,0,0,0,0,0,0,0,0,0,5,36,0,0,0,0
Logan Thomas,ARI@WAS,8,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Adam Trautman,LV@DEN,8,0,0,0,0,0,0,0,0,0,0,5,34,0,0,0,0
Mike Williams,MIA@LAC,8,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
Bryce Young,CAR@ATL,8,38,20,146,1,2,0,3,17,0,0,0,0,0,0,0,0
Braxton Berrios,MIA@LAC,7,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
Marquise Brown,ARI@WAS,7,0,0,0,0,0,0,1,29,0,0,3,28,0,0,0,0
Ezekiel Elliott,PHI@NE,7,0,0,0,0,0,0,7,29,0,0,5,14,0,0,1,0
Pat Freiermuth,SF@PIT,7,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
Jahmyr Gibbs,DET@KC,7,0,0,0,0,0,0,7,42,0,0,2,18,0,0,0,0
Kylen Granson,JAX@IND,7,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
Tyler Higbee,LA@SEA,7,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
Diontae Johnson,SF@PIT,7,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
Rondale Moore,ARI@WAS,7,0,0,0,0,0,0,2,12,0,0,3,33,0,0,0,0
JuJu Smith-Schuster,PHI@NE,7,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
Durham Smythe,MIA@LAC,7,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
Rashod Bateman,HOU@BAL,6,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Cartavious Bigsby,JAX@IND,6,0,0,0,0,0,0,7,13,1,0,0,0,0,0,1,0
Amari Cooper,CIN@CLE,6,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Nathaniel Dell,HOU@BAL,6,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
Josh Downs,JAX@IND,6,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
Mike Gesicki,PHI@NE,6,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Noah Gray,DET@KC,6,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Mack Hollins,CAR@ATL,6,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Lamar Jackson,HOU@BAL,6,22,17,169,0,1,0,6,38,0,0,0,0,0,0,1,0
Van Jefferson,LA@SEA,6,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0
Juwan Johnson,TEN@NO,6,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Dalton Kincaid,BUF@NYJ,6,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
Allen Lazard,BUF@NYJ,6,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0
Josh Oliver,TB@MIN,6,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
K.J. Osborn,TB@MIN,6,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Kyle Pitts,CAR@ATL,6,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
Jayden Reed,GB@CHI,6,0,0,0,0,0,0,1,-2,0,0,2,48,0,0,0,0
Marquez Valdes-Scantling,DET@KC,6,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,0
Darren Waller,DAL@NYG,6,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Jaylen Warren,SF@PIT,6,0,0,0,0,0,0,3,6,0,0,5,12,0,0,0,0
Justin Watson,DET@KC,6,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0
Rachaad White,TB@MIN,6,0,0,0,0,0,0,17,39,0,0,2,10,0,0,0,0
Jamaal Williams,TEN@NO,6,0,0,0,0,0,0,18,45,0,0,2,7,0,0,0,0
Odell Beckham Jr.,HOU@BAL,5,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0
Noah Brown,HOU@BAL,5,0,0,0,0,0,0,1,-1,0,0,3,20,0,0,0,0
Gabriel Davis,BUF@NYJ,5,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Gus Edwards,HOU@BAL,5,0,0,0,0,0,0,8,32,0,1,0,0,0,0,0,0
Najee Harris,SF@PIT,5,0,0,0,0,0,0,6,31,0,0,2,2,0,0,0,0
Alec Ingold,MIA@LAC,5,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
Deon Jackson,JAX@IND,5,0,0,0,0,0,0,13,14,0,0,5,14,0,0,2,0
Brandon Johnson,LV@DEN,5,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Dawson Knox,BUF@NYJ,5,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Terry McLaurin,ARI@WAS,5,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Dameon Pierce,HOU@BAL,5,0,0,0,0,0,0,11,38,0,0,2,9,0,0,0,0
Dak Prescott,DAL@NYG,5,24,13,143,0,0,0,1,6,0,0,0,0,0,0,0,0
Mike Boone,HOU@BAL,4,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
Brandin Cooks,DAL@NYG,4,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
AJ Dillon,GB@CHI,4,0,0,0,0,0,0,13,19,0,0,2,17,0,0,0,0
Greg Dulcich,LV@DEN,4,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Gerald Everett,MIA@LAC,4,0,0,0,0,0,0,1,2,0,0,2,21,0,0,0,0
Daniel Jones,DAL@NYG,4,28,15,104,0,2,0,13,43,0,0,0,0,0,0,0,0
George Kittle,SF@PIT,4,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0
Terrace Marshall,CAR@ATL,4,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Trey McBride,ARI@WAS,4,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
D.J. Moore,GB@CHI,4,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
David Njoku,CIN@CLE,4,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
Darius Slayton,DAL@NYG,4,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
Irv Smith,CIN@CLE,4,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
Jaxon Smith-Njigba,LA@SEA,4,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
Tyler Boyd,CIN@CLE,3,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Treylon Burks,TEN@NO,3,0,0,0,0,0,0,1,9,0,0,2,18,0,0,0,0
Joe Burrow,CIN@CLE,3,31,14,82,0,0,0,1,-1,0,0,0,0,0,0,0,0
Lawrence Cager,DAL@NYG,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Michael Carter,BUF@NYJ,3,0,0,0,0,0,0,1,6,0,0,2,12,0,0,0,0
Will Dissly,LA@SEA,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Joshua Dobbs,ARI@WAS,3,30,21,132,0,0,0,3,-3,0,0,0,0,0,0,2,0
Clyde Edwards-Helaire,DET@KC,3,0,0,0,0,0,0,6,22,0,0,1,7,0,0,0,0
Jake Ferguson,DAL@NYG,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
D'Onta Foreman,GB@CHI,3,0,0,0,0,0,0,5,16,0,0,2,8,0,0,0,0
Jake Funk,JAX@IND,3,0,0,0,0,0,0,2,10,0,0,1,12,0,0,0,0
Damien Harris,BUF@NYJ,3,0,0,0,0,0,0,1,3,0,0,2,16,0,0,0,0
Deonte Harty,BUF@NYJ,3,0,0,0,0,0,0,1,4,0,0,3,9,0,0,0,0
Connor Heyward,SF@PIT,3,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Austin Hooper,LV@DEN,3,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Brycen Hopkins,LA@SEA,3,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
Tyler Lockett,LA@SEA,3,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Anthony McFarland,SF@PIT,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Jonathan Mingo,CAR@ATL,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Andrew Ogletree,JAX@IND,3,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Cade Otton,TB@MIN,3,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Kalif Raymond,DET@KC,3,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Tyler Scott,GB@CHI,3,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Laviska Shenault,CAR@ATL,3,0,0,0,0,0,0,2,5,0,0,2,16,0,0,0,0
Tyjae Spears,TEN@NO,3,0,0,0,0,0,0,3,27,0,0,1,1,0,0,0,0
Adam Thielen,CAR@ATL,3,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
Deven Thompkins,TB@MIN,3,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Samori Toure,GB@CHI,3,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Sean Tucker,TB@MIN,3,0,0,0,0,0,0,5,15,0,0,2,9,0,0,0,0
Quez Watkins,PHI@NE,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Michael Wilson,ARI@WAS,3,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Brock Wright,DET@KC,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Jordan Akins,CIN@CLE,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Gary Brightwell,DAL@NYG,2,0,0,0,0,0,0,1,5,0,0,2,6,0,0,0,0
Ty Chandler,TB@MIN,2,0,0,0,0,0,0,3,0,0,0,1,18,0,0,0,0
DeeJay Dallas,LA@SEA,2,0,0,0,0,0,0,2,4,0,0,1,14,0,0,0,0
Rico Dowdle,DAL@NYG,2,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0
Chris Evans,CIN@CLE,2,0,0,0,0,0,0,2,12,0,0,1,-1,0,0,0,0
Jerome Ford,CIN@CLE,2,0,0,0,0,0,0,15,36,0,0,0,0,0,0,1,0
Michael Gallup,DAL@NYG,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
C.J. Ham,TB@MIN,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
Isaiah Hodgins,DAL@NYG,2,0,0,0,0,0,0,0,0,0,0,1,24,0,0,1,0
Quentin Johnston,MIA@LAC,2,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Jerick McKinnon,DET@KC,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Marvin Mims,LV@DEN,2,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Ty Montgomery,PHI@NE,2,0,0,0,0,0,0,1,7,0,0,2,9,0,0,0,0
Donovan Peoples-Jones,CIN@CLE,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Teagan Quitoriano,HOU@BAL,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Dalton Schultz,HOU@BAL,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Patrick Taylor,GB@CHI,2,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0
Cole Turner,ARI@WAS,2,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Salvon Ahmed,MIA@LAC,1,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0
Daniel Bellinger,DAL@NYG,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Matt Breida,DAL@NYG,1,0,0,0,0,0,0,2,9,0,0,1,-3,0,0,0,0
Michael Burton,LV@DEN,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
