Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Zamir White,DEN@LV,12,0,0,0,0,0,0,25,112,0,0,1,9,0,0,0,0
Austin Ekeler,KC@LAC,11,0,0,0,0,0,0,10,11,0,0,7,38,0,0,0,0
Chris Godwin,TB@CAR,11,0,0,0,0,0,0,1,4,0,0,6,51,0,0,0,0
Taysom Hill,ATL@NO,11,0,0,0,0,0,0,6,51,0,0,4,28,0,0,0,0
Isaiah Likely,PIT@BAL,11,0,0,0,0,0,0,0,0,0,0,2,31,1,0,0,0
Terry McLaurin,DAL@WAS,11,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0,0
Brian Robinson,DAL@WAS,11,0,0,0,0,0,0,9,25,0,0,3,10,1,0,1,0
Mason Rudolph,PIT@BAL,11,20,18,152,1,0,0,2,-1,0,0,0,0,0,0,1,0
Trent Sherfield,BUF@MIA,11,0,0,0,0,0,0,0,0,0,0,3,24,1,0,0,0
Jonnu Smith,ATL@NO,11,0,0,0,0,0,0,0,0,0,0,3,29,1,0,0,0
Jamaal Williams,ATL@NO,11,0,0,0,0,0,0,14,26,1,0,3,8,0,0,0,0
Ty Chandler,MIN@DET,10,0,0,0,0,0,0,12,69,0,0,2,20,0,0,0,0
Chuba Hubbard,TB@CAR,10,0,0,0,0,0,0,23,83,0,0,2,9,0,0,0,0
Zay Jones,JAX@TEN,10,0,0,0,0,0,0,0,0,0,0,6,47,0,0,0,0
Dawson Knox,BUF@MIA,10,0,0,0,0,0,0,0,0,0,0,2,22,1,0,0,0
David Montgomery,MIN@DET,10,0,0,0,0,0,0,10,40,1,0,0,0,0,0,0,0
D.J. Moore,CHI@GB,10,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
John Mundt,MIN@DET,10,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0
Josh Palmer,KC@LAC,10,0,0,0,0,0,0,1,6,0,0,6,44,0,0,0,0
Chris Conley,LA@SF,9,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0
Jahmyr Gibbs,MIN@DET,9,0,0,0,0,0,0,13,30,1,0,0,0,0,0,0,0
Sam Howell,DAL@WAS,9,27,19,153,1,2,0,4,-1,0,0,1,4,0,0,0,0
Josh Reynolds,MIN@DET,9,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,0
