Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Rashee Rice,KC@DEN,9,0,0,0,0,0,0,0,0,0,0,4,56,0,0,0,0
Brian Robinson,PHI@WAS,9,0,0,0,0,0,0,10,59,0,0,2,20,0,0,0,0
Bennett Skowronek,LA@DAL,9,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0
Pierre Strong,CLE@SEA,9,0,0,0,0,0,0,10,41,0,0,1,41,0,0,0,0
Michael Wilson,BAL@ARI,9,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0
Cam Akers,MIN@GB,8,0,0,0,0,0,0,9,19,1,0,1,6,0,0,0,0
Noah Brown,HOU@CAR,8,0,0,0,0,0,0,0,0,0,0,3,57,0,0,0,0
Zach Charbonnet,CLE@SEA,8,0,0,0,0,0,0,5,53,0,0,2,11,0,0,0,0
Emari Demercado,BAL@ARI,8,0,0,0,0,0,0,20,78,0,0,1,1,0,0,0,0
Antonio Gibson,PHI@WAS,8,0,0,0,0,0,0,2,14,0,0,5,28,0,0,0,0
Christian Kirk,JAX@PIT,8,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Cade Otton,TB@BUF,8,0,0,0,0,0,0,0,0,0,0,4,27,0,1,0,0
Craig Reynolds,LV@DET,8,0,0,0,0,0,0,14,74,0,0,1,12,0,0,1,0
Tommy Tremble,HOU@CAR,8,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0
Mitchell Trubisky,JAX@PIT,8,27,15,138,1,2,0,3,18,0,0,0,0,0,0,0,0
Nico Collins,HOU@CAR,7,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0
James Cook,TB@BUF,7,0,0,0,0,0,0,14,67,0,0,1,6,0,0,0,0
Tommy DeVito,NYJ@NYG,7,7,2,-1,0,0,0,4,12,1,0,0,0,0,0,0,0
Demario Douglas,NE@MIA,7,0,0,0,0,0,0,1,4,0,0,5,25,0,0,0,0
Simi Fehoko,CHI@LAC,7,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0
Kenny Gainwell,PHI@WAS,7,0,0,0,0,0,0,2,-4,0,0,5,30,0,0,1,0
Dallas Goedert,PHI@WAS,7,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0
Connor Heyward,JAX@PIT,7,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0
Andrei Iosivas,CIN@SF,7,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Aaron Jones,MIN@GB,7,0,0,0,0,0,0,7,29,0,0,4,17,0,0,0,0
Julio Jones,PHI@WAS,7,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0
Allen Lazard,NYJ@NYG,7,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
Puka Nacua,LA@DAL,7,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0
Isiah Pacheco,KC@DEN,7,0,0,0,0,0,0,8,40,0,0,3,-3,0,0,0,0
Alec Pierce,NO@IND,7,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
JuJu Smith-Schuster,NE@MIA,7,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
Kenneth Walker,CLE@SEA,7,0,0,0,0,0,0,8,66,0,0,1,4,0,0,0,0
Cedrick Wilson,NE@MIA,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Chatarius Atwell,LA@DAL,6,0,0,0,0,0,1,2,8,0,0,2,21,0,0,0,0
Rashod Bateman,BAL@ARI,6,0,0,0,0,0,0,1,18,0,0,2,34,0,0,0,0
Andrew Beck,HOU@CAR,6,0,0,0,0,0,0,2,1,1,0,1,8,0,0,1,0
Zay Flowers,BAL@ARI,6,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0
Chuba Hubbard,HOU@CAR,6,0,0,0,0,0,0,15,28,0,0,2,26,0,0,0,0
Roschon Johnson,CHI@LAC,6,0,0,0,0,0,0,6,21,0,0,3,10,0,0,0,0
Cooper Kupp,LA@DAL,6,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0
Patrick Mahomes,KC@DEN,6,38,24,240,0,2,0,3,20,0,0,0,0,0,0,1,0
Ray Ray McCloud,CIN@SF,6,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0
