Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Tylan Wallace,BAL,WR,23,6,0,6,3,0,0,0,0,0,0,21,0,2,5.1,0,0,0
Dwayne Washington,NOR,RB,28,5,0,0,0,0,0,0,18,0,4,0,0,2,1.8,0,0,0
Trevon Wesco,CHI,TE,27,5,1,2,1,0,0,0,0,0,0,23,0,2,3.3,0,0,0
Zamir White,LVR,RB,23,5,0,0,0,0,0,0,19,0,4,0,0,2,1.9,0,0,0
Juwann Winfree,GNB,WR,26,3,0,4,1,0,0,0,0,0,0,17,0,2,2.7,0,0,0
Michael Woods II,CLE,WR,22,1,0,2,1,0,0,0,0,0,0,15,0,2,2.5,0,0,0
Miles Boykin,PIT,WR,26,6,0,2,1,0,0,0,0,0,0,11,0,1,2.1,0,0,0
Michael Burton,KAN,RB,30,6,0,2,1,0,0,0,8,0,2,2,0,1,2.0,0,0,0
Keelan Cole,LVR,WR,29,3,1,4,1,0,0,0,0,0,0,12,0,1,2.2,0,0,0
Bryan Edwards,ATL,WR,24,4,1,4,2,0,0,0,0,0,0,12,0,1,3.2,0,0,0
Luke Farrell,JAX,TE,25,6,0,1,1,0,0,0,0,0,0,11,0,1,2.1,0,0,0
Troy Hairston,HOU,RB,24,5,1,1,1,0,0,0,0,0,0,5,0,1,1.5,0,0,0
Kevin Harris,NWE,RB,22,1,0,0,0,0,0,0,5,0,3,0,0,1,0.5,0,0,0
Brian Hoyer,NWE,QB,37,1,1,0,0,37,0,6,0,0,0,0,0,1,1.5,0,0,0
Keaontay Ingram,ARI,RB,23,1,0,0,0,0,0,0,7,0,3,0,0,1,0.7,0,0,0
D'Ernest Johnson,CLE,RB,26,4,0,2,2,0,0,0,0,0,0,9,0,1,2.9,0,0,0
Jakob Johnson,LVR,RB,28,5,2,2,2,0,0,0,0,0,0,6,0,1,2.6,0,0,0
Brevin Jordan,HOU,TE,22,2,1,6,3,0,0,0,0,0,0,8,0,1,3.8,0,0,0
Tyler Kroft,SFO,TE,30,2,2,2,1,0,0,0,0,0,0,9,0,1,1.9,0,0,0
Jordan Mason,SFO,RB,23,6,0,0,0,0,0,0,7,0,1,0,0,1,0.7,0,0,0
Sean McKeon,DAL,TE,25,2,0,1,1,0,0,0,0,0,0,10,0,1,2.0,0,0,0
