Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Tony Jones,NOR,RB,25,2,0,2,2,0,0,0,8,0,2,12,0,2,0,0,0
Dwayne Washington,NOR,RB,28,1,0,0,0,0,0,0,18,0,4,0,0,2,0,0,0
Hunter Henry,NWE,TE,28,2,2,4,2,0,0,0,0,0,0,20,0,2,0,0,0
Matt Breida,NYG,RB,27,2,0,1,0,0,0,0,20,0,6,0,0,2,0,0,0
Kenny Golladay,NYG,WR,29,2,1,2,2,0,0,0,0,0,0,22,0,2,0,0,0
Tanner Hudson,NYG,TE,28,2,0,3,2,0,0,0,0,0,0,22,0,2,0,0,0
Kadarius Toney,NYG,WR,23,2,1,3,2,0,0,0,23,0,2,0,0,2,0,0,0
Jeff Smith,NYJ,WR,25,2,0,1,1,0,0,0,0,0,0,17,0,2,0,0,0
Cody Hollister,TEN,WR,29,2,0,1,1,0,0,0,0,0,0,22,0,2,0,0,0
Geoff Swaim,TEN,TE,29,2,2,4,3,0,0,0,0,0,0,19,0,2,0,0,0
Zach Pascal,PHI,WR,28,2,0,3,3,0,0,0,0,0,0,21,0,2,0,0,0
Jaylen Warren,PIT,RB,24,2,0,2,1,0,0,0,22,0,7,0,0,2,0,0,0
Ameer Abdullah,LVR,RB,29,2,0,2,1,0,0,0,0,0,0,23,0,2,0,0,0
Mike Davis,BAL,RB,29,2,0,0,0,0,0,0,15,0,7,0,0,2,0,1,0
Tre' McKitty,LAC,TE,23,2,0,4,3,0,0,0,0,0,0,24,0,2,0,1,0
Marquise Goodwin,SEA,WR,32,2,0,3,2,0,0,0,0,0,0,22,0,2,0,0,0
Kenneth Walker III,SEA,RB,22,1,0,3,2,0,0,0,10,0,4,5,0,2,0,0,0
Cameron Brate,TAM,TE,31,2,1,5,2,0,0,0,0,0,0,16,0,2,0,0,0
Rachaad White,TAM,RB,23,2,0,4,2,0,0,0,15,0,8,7,0,2,0,0,0
John Bates,WAS,TE,25,2,1,4,2,0,0,0,0,0,0,15,0,2,0,0,0
Armani Rogers,WAS,TE,25,2,0,1,1,0,0,0,0,0,0,23,0,2,0,0,0
Anthony Firkser,ATL,TE,27,2,1,2,1,0,0,0,0,0,0,6,0,1,0,0,0
Parker Hesse,ATL,TE,27,2,0,3,2,0,0,0,0,0,0,10,0,1,0,0,0
Quintin Morris,BUF,TE,23,1,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0
D'Onta Foreman,CAR,RB,26,2,0,0,0,0,0,0,14,0,4,0,0,1,0,0,0
Shi Smith,CAR,WR,24,2,2,9,2,0,0,0,0,0,0,14,0,1,0,0,0
Stephen Sullivan,CAR,TE,26,1,0,1,1,0,0,0,0,0,0,13,0,1,0,0,0
David Bell,CLE,WR,22,2,1,1,1,0,0,0,0,0,0,6,0,1,0,0,0
