,Player,PPRFantasyPoints
338,Raekwon McMillan,0.0
339,Kyle Wilber,0.0
340,Andre James,0.0
341,Carl Nassib,0.0
342,Cory Littleton,0.0
343,Maxx Crosby,0.0
344,Erik Harris,0.0
345,Sam Young,0.0
346,Trayvon Mullen,0.0
347,Lamarcus Joyner,0.0
348,Johnathan Hankins,0.0
349,Denzelle Good,0.0
350,Arden Key,0.0
351,Trent Brown,0.0
352,Frank Ragnow,0.0
353,Adrian Peterson,14.4
354,Don Muhlbach,0.0
355,Jesse James,0.0
356,Danny Shelton,0.0
357,Duron Harmon,0.0
358,Tony McRae,0.0
359,Kerryon Johnson,1.4
360,Jamie Collins,0.0
361,Tyrell Crosby,0.0
362,Darryl Roberts,0.0
363,Desmond Trufant,0.0
364,Matt Prater,0.0
365,Jamal Agnew,0.0
366,Marvin Hall,3.6
367,D'Andre Swift,11.3
368,Quintez Cephus,7.3
369,Joe Dahl,0.0
370,Jalen Reeves-Maybin,0.0
371,Amani Oruwariye,0.0
372,Jason Cabinda,0.0
373,Tracy Walker,0.0
374,Romeo Okwara,0.0
375,Marvin Jones,9.5
376,John Penisini,0.0
377,Jarrad Davis,0.0
378,Matt Nelson,0.0
379,Elijah Lee,0.0
380,Danny Amendola,13.1
381,Reggie Ragland,0.0
382,Ty Johnson,0.0
383,Matthew Stafford,16.18
384,Justin Coleman,0.0
385,Jack Fox,0.0
386,Trey Flowers,0.0
387,Jahlani Tavai,0.0
388,Julian Okwara,0.0
389,Jonah Jackson,0.0
390,T.J. Hockenson,16.6
391,Will Harris,0.0
392,Miles Killebrew,0.0
393,Nick Williams,0.0
394,Christian Jones,0.0
395,Oday Aboushi,0.0
396,Taylor Decker,0.0
397,Da'Shawn Hand,0.0
398,Kyle Fuller,0.0
399,Roquan Smith,0.0
400,DeAndre Houston-Carson,0.0
401,Jaylon Johnson,0.0
402,Germain Ifedi,0.0
403,Danny Trevathan,0.0
404,Kindle Vildor,0.0
405,Jimmy Graham,11.5
406,Cordarrelle Patterson,4.1
407,Javon Wims,7.1
408,Alex Bars,0.0
409,Ted Ginn Jr.,0.0
410,Bobby Massie,0.0
411,Cody Whitehair,0.0
412,Eddie Jackson,0.0
413,Patrick Scales,0.0
414,Sherrick McManis,0.0
415,Akiem Hicks,0.0
416,Ryan Nall,0.0
417,John Jenkins,0.0
418,Bilal Nichols,0.0
419,Josh Woods,0.0
420,Darnell Mooney,6.800000000000001
421,Anthony Miller,17.6
422,James Vaughters,0.0
423,Roy Robertson-Harris,0.0
424,Rashaad Coward,0.0
425,Tarik Cohen,6.7
426,Demetrius Harris,0.0
427,Tashaun Gipson,0.0
428,Allen Robinson,12.3
429,Brent Urban,0.0
430,Deon Bush,0.0
431,David Montgomery,8.4
432,Joel Iyiegbuniwe,0.0
433,James Daniels,0.0
434,Mitchell Trubisky,24.28
435,Buster Skrine,0.0
436,Pat O'Donnell,0.0
437,Charles Leno Jr.,0.0
438,Cole Kmet,0.0
439,Trevis Gipson,0.0
440,Khalil Mack,0.0
441,J.P. Holtz,0.0
442,Barkevious Mingo,0.0
443,Jawaan Taylor,0.0
444,Chris Thompson,2.6
445,Logan Cooke,0.0
446,C.J. Henderson,0.0
447,Keelan Cole,15.7
448,DJ Chark,11.5
449,Brandon Watson,0.0
450,Josh Allen,0.0
451,Tyler Shatley,0.0
452,Shaquille Quarterman,0.0
453,Laviska Shenault Jr.,13.7
454,Josh Jones,0.0
455,Dawuane Smoot,0.0
456,Gardner Minshew II,20.82
457,Daniel Thomas,0.0
458,Will Richardson,0.0
459,Andrew Norwell,0.0
460,Andrew Wingard,0.0
461,Tyler Eifert,1.8
462,James O'Shaughnessy,1.0
463,Leon Jacobs,0.0
464,Brandon Linder,0.0
465,Taven Bryan,0.0
466,Cam Robinson,0.0
467,Adam Gotsis,0.0
468,Myles Jack,0.0
469,Ben Bartch,0.0
470,Chris Conley,1.6
471,Bruce Miller,1.2
472,A.J. Cann,0.0
473,Chris Claybrooks,0.0
474,K'Lavon Chaisson,0.0
475,D.J. Hayden,0.0
476,Joe Schobert,0.0
477,Timmy Jernigan,0.0
478,Josh Lambo,0.0
479,Collin Johnson,2.4000000000000004
480,Tre Herndon,0.0
481,Abry Jones,0.0
482,Dakota Allen,0.0
483,Jack Doyle,7.9
484,Nyheim Hines,27.3
485,Rock Ya-Sin,0.0
486,Jordan Glasgow,0.0
487,Jordan Wilkins,0.0
488,Michael Pittman Jr.,3.0
489,Quenton Nelson,0.0
490,Mark Glowinski,0.0
491,Marlon Mack,8.600000000000001
492,Ashton Dulin,0.0
493,Danny Pinter,0.0
494,Ryan Kelly,0.0
495,DeForest Buckner,0.0
496,E.J. Speed,0.0
497,Isaiah Rodgers,0.0
498,Denico Autry,0.0
499,Taylor Stallworth,0.0
500,Kenny Moore,0.0
501,Xavier Rhodes,0.0
502,Le'Raven Clark,0.0
503,Rigoberto Sanchez,0.0
504,Grover Stewart,0.0
505,Darius Leonard,0.0
506,Malik Hooker,0.0
507,Khari Willis,0.0
508,Tyquan Lewis,0.0
509,Zaire Franklin,0.0
510,T.Y. Hilton,9.3
511,Anthony Walker,0.0
512,Chaz Green,0.0
513,Jonathan Taylor,14.9
514,Al-Quadin Muhammad,0.0
515,Mo Alie-Cox,4.0
516,Bobby Okereke,0.0
517,T.J. Carrie,0.0
518,Zach Pascal,3.8
519,Tavon Wilson,0.0
520,Jacoby Brissett,0.0
521,George Odum,0.0
522,Matthew Adams,0.0
523,Philip Rivers,14.82
524,Braden Smith,0.0
525,Parris Campbell,14.0
526,Ben Banogu,0.0
527,Justin Houston,0.0
528,Anthony Castonzo,0.0
529,Luke Rhodes,0.0
530,Dalvin Cook,17.8
531,Austin Cutting,0.0
532,Yannick Ngakoue,0.0
533,Eric Kendricks,0.0
534,Holton Hill,0.0
535,Tyler Conklin,0.0
